,fam,gen,sp,count,Local,ShadeTol,mainDispersal,,canFixN,Wind,Water,Animal,Insect,Vertebrate,Kernel (m),Strategy,Refs
585,Sapindaceae,Cupania,glabra,3,,,Animal,bird?,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiT4Kr3wtrzAhWJVc0KHX5kDTsQFnoECB8QAQ&url=https%3A%2F%2Fresearch.si.edu%2Fpublication-details%2F%3Fid%3D107050&usg=AOvVaw284U5gjbWombTIbvv6LCeI
602,Annonaceae,Xylopia,sericophylla,2,,,Animal,vertebrate,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiev5jQw9rzAhUWbs0KHUg0BZEQFnoECAcQAQ&url=https%3A%2F%2Fphytokeys.pensoft.net%2Farticles.php%3Fid%3D20975%26element_type%3D9&usg=AOvVaw1lOSnPOZp65JoKpDAQk5_E
615,Fabaceae,Cojoba,arborea,2,,,Animal,bird?,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwimzIDmw9rzAhWBLc0KHTn3D1sQFnoECCIQAQ&url=https%3A%2F%2Fwww.redalyc.org%2Fpdf%2F574%2F57412073006.pdf&usg=AOvVaw3o14jsNKCAHOSSNd1ZrfHf; https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwimzIDmw9rzAhWBLc0KHTn3D1sQFnoECAUQAQ&url=https%3A%2F%2Fwww.nparks.gov.sg%2FFloraFaunaWeb%2FFlora%2F6%2F3%2F6301&usg=AOvVaw0ZEYinqwBDefXnTBQSNJSv
628,Lamiaceae,Vitex,cooperi,2,,,Water,?,,,,,,,,,
733,Malpighiaceae,Byrsonima,crassifolia,2,,,Animal,bird?,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiVtPSrxNrzAhUSOs0KHZ0iAR4QFnoECAwQAQ&url=https%3A%2F%2Fwebapps.lsa.umich.edu%2Fherb%2Fmalpigh%2FMALPpdf%2FCRNH-WRA1983.pdf&usg=AOvVaw1U2Ko1h_CBjBfsGAzqwllu
795,Melastomataceae,Miconia,argenta,2,,,Animal,,,,,Common,,,,,Werden et al 2020 Dryad
812,Meliaceae,Cedrela,odorata,2,,,Wind,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiF6LHGxNrzAhUHK80KHYf3AfwQFnoECAcQAQ&url=https%3A%2F%2Fwww.darwinfoundation.org%2Fen%2Fdatazone%2Fchecklist%3Fspecies%3D600&usg=AOvVaw0HUz-rmeF7tEkoZKBRjzq3
897,Acanthaceae,Bravaisia,integerrima,1,,,Animal,"bat, bird",,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiAvoDXxNrzAhX1dM0KHf3yCagQFnoECAYQAQ&url=https%3A%2F%2Flink.springer.com%2Fcontent%2Fpdf%2F10.1007%252F978-94-009-4826-6_4.pdf&usg=AOvVaw1NRyS83QwqAVwtL41f1WGy
907,Anacardiaceae,Spondias,sp.,1,,,Animal,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwicv_znxNrzAhXZKM0KHT_tCo4QFnoECAMQAQ&url=https%3A%2F%2Frevistas.ucr.ac.cr%2Findex.php%2Frbt%2Farticle%2Fdownload%2F22466%2F22630&usg=AOvVaw04ulFiUhf8zTdIxBO_sTp4
908,Burseraceae,Bursera,simaruba,1,,,Animal,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiWk4v-xNrzAhUVZc0KHaHTCuIQFnoECAMQAQ&url=https%3A%2F%2Frngr.net%2Fpublications%2Ftpn%2F59-1%2Fgermination-rates-of-bursera-simaruba-seeds-subjected-to-various-scarification-treatments%2Fat_download%2Ffile&usg=AOvVaw0cwIsyowSs2ZF9-zVKprh1
930,Chrysobalanaceae,Maranthes,panamensis,1,,,Animal,bat,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjRh9iRxdrzAhVoB50JHRriBCIQFnoECAQQAQ&url=https%3A%2F%2Fwww.jstor.org%2Fstable%2F23525375&usg=AOvVaw3ucNTZHJxh65yIHjso7_KB
959,Fabaceae,Lonchocarpus,macrophyllus,1,,,Animal,?,,,,,,,,,
1011,Fabaceae,Peltogyne,purpurea,1,,,NA,?,1,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiR3cLExdrzAhWUAZ0JHfEbB0wQFnoECAUQAQ&url=https%3A%2F%2Fwww.researchgate.net%2Fpublication%2F314571206_A_mast_fruiting_episode_of_the_tropical_tree_Peltogyne_purpurea_Caesalpinaceae_in_the_Osa_Peninsula_Costa_Rica&usg=AOvVaw1g_1s5_bSFr-ybnasa0DXa
1038,Malvaceae,Ochroma,pyramidale,1,,,Wind,,,,,,,,,,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwid29GExtrzAhVcAp0JHQWdABsQFnoECBUQAQ&url=https%3A%2F%2Fprota4u.org%2Fprosea%2Fview.aspx%3Fid%3D5998&usg=AOvVaw2vyHtU1dNNV9thi75LDO3n
1042,Moraceae,Ficus,sp.,1,,,Animal,,,,,Common,,,,,Werden et al 2020 Dryad
1223,Myrtaceae,Psidium,guajava,1,,,Animal,,,,,Common,,,,,Werden et al 2020 Dryad
,,,,,,,,,,,,,,,,,
,,,,1242,,,,,,,,,,,,,
